,agency_name,unit_appropriation_name,object_class_name,total_amount,bn_dol
17,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART and DAYCARE-PS,AMOUNTS TO BE SCHEDULED,10786,1.0786e-05
18,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART and DAYCARE-PS,FULL TIME SALARIED,15658148,0.015658148
19,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART and DAYCARE-PS,UNSALARIED,14898,1.4898e-05
20,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART/DAYCARE-OTPS,CONTRACTUAL SERVICES,998930369,0.998930369
21,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART/DAYCARE-OTPS,FIXED & MISCELLANEOUS CHARGES,867552,0.000867552
22,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART/DAYCARE-OTPS,OTHER SERVICES AND CHARGES,490134,0.000490134
23,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART/DAYCARE-OTPS,SOCIAL SERVICES,409335,0.000409335
24,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART/DAYCARE-OTPS,SUPPLIES AND MATERIALS,0,0.0
25,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OCFS PAYMENTS,OTHER SERVICES AND CHARGES,15672633,0.015672633
26,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OTPS,CONTRACTUAL SERVICES,148430793,0.148430793
27,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OTPS,FIXED & MISCELLANEOUS CHARGES,3672792,0.003672792
28,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OTPS,OTHER SERVICES AND CHARGES,16211710,0.01621171
29,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OTPS,PROPERTY AND EQUIPMENT,159000,0.000159
30,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OTPS,SOCIAL SERVICES,17055,1.7055e-05
31,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OTPS,SUPPLIES AND MATERIALS,5762851,0.005762851
32,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - PS,ADDITIONAL GROSS PAY,17051475,0.017051475
33,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - PS,FRINGE BENEFITS,180000,0.00018
34,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - PS,FULL TIME SALARIED,58842806,0.058842806
35,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - PS,UNSALARIED,12437,1.2437e-05
36,ADMINISTRATION FOR CHILDRENS SERVICES,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,35160309,0.035160309
37,ADMINISTRATION FOR CHILDRENS SERVICES,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,130663,0.000130663
38,ADMINISTRATION FOR CHILDRENS SERVICES,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,86839256,0.086839256
39,ADMINISTRATION FOR CHILDRENS SERVICES,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,1017081,0.001017081
40,ADMINISTRATION FOR CHILDRENS SERVICES,OTHER THAN PERSONAL SERVICES,SOCIAL SERVICES,50000,5e-05
41,ADMINISTRATION FOR CHILDRENS SERVICES,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,2747651,0.002747651
42,ADMINISTRATION FOR CHILDRENS SERVICES,PERSONAL SERVICES,ADDITIONAL GROSS PAY,37671504,0.037671504
43,ADMINISTRATION FOR CHILDRENS SERVICES,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,27635,2.7635e-05
44,ADMINISTRATION FOR CHILDRENS SERVICES,PERSONAL SERVICES,FRINGE BENEFITS,1269,1.269e-06
45,ADMINISTRATION FOR CHILDRENS SERVICES,PERSONAL SERVICES,FULL TIME SALARIED,349601737,0.349601737
46,ADMINISTRATION FOR CHILDRENS SERVICES,PERSONAL SERVICES,UNSALARIED,2895346,0.002895346
47,BOARD OF CORRECTION,OTHER THAN PERSONAL SERVICE,CONTRACTUAL SERVICES,84221,8.4221e-05
48,BOARD OF CORRECTION,OTHER THAN PERSONAL SERVICE,FIXED & MISCELLANEOUS CHARGES,4750,4.75e-06
49,BOARD OF CORRECTION,OTHER THAN PERSONAL SERVICE,OTHER SERVICES AND CHARGES,127692,0.000127692
50,BOARD OF CORRECTION,OTHER THAN PERSONAL SERVICE,PROPERTY AND EQUIPMENT,8287,8.287e-06
51,BOARD OF CORRECTION,OTHER THAN PERSONAL SERVICE,SUPPLIES AND MATERIALS,15452,1.5452e-05
52,BOARD OF CORRECTION,PERSONAL SERVICES,ADDITIONAL GROSS PAY,10644,1.0644e-05
53,BOARD OF CORRECTION,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,37543,3.7543e-05
54,BOARD OF CORRECTION,PERSONAL SERVICES,FULL TIME SALARIED,2929197,0.002929197
55,BOARD OF CORRECTION,PERSONAL SERVICES,OTHER SALARIED,33000,3.3e-05
56,BOARD OF CORRECTION,PERSONAL SERVICES,UNSALARIED,3788,3.788e-06
57,BOARD OF ELECTIONS,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,61237130,0.06123713
58,BOARD OF ELECTIONS,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,0,0.0
59,BOARD OF ELECTIONS,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,48111132,0.048111132
60,BOARD OF ELECTIONS,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,16903214,0.016903214
61,BOARD OF ELECTIONS,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,7927205,0.007927205
62,BOARD OF ELECTIONS,PERSONAL SERVICES,ADDITIONAL GROSS PAY,8415867,0.008415867
63,BOARD OF ELECTIONS,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,1146395,0.001146395
64,BOARD OF ELECTIONS,PERSONAL SERVICES,FRINGE BENEFITS,100000,0.0001
65,BOARD OF ELECTIONS,PERSONAL SERVICES,FULL TIME SALARIED,86895745,0.086895745
66,BOARD OF ELECTIONS,PERSONAL SERVICES,OTHER SALARIED,602,6.02e-07
67,BOARD OF ELECTIONS,PERSONAL SERVICES,UNSALARIED,32500180,0.03250018
68,BOROUGH PRESIDENT - BRONX,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,854020,0.00085402
69,BOROUGH PRESIDENT - BRONX,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,13750,1.375e-05
70,BOROUGH PRESIDENT - BRONX,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,-230245,-0.000230245
71,BOROUGH PRESIDENT - BRONX,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,342115,0.000342115
72,BOROUGH PRESIDENT - BRONX,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,245889,0.000245889
73,BOROUGH PRESIDENT - BRONX,PERSONAL SERVICES,ADDITIONAL GROSS PAY,28884,2.8884e-05
74,BOROUGH PRESIDENT - BRONX,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,-1207306,-0.001207306
75,BOROUGH PRESIDENT - BRONX,PERSONAL SERVICES,FULL TIME SALARIED,6697631,0.006697631
76,BOROUGH PRESIDENT - BRONX,PERSONAL SERVICES,UNSALARIED,126820,0.00012682
77,BOROUGH PRESIDENT - BROOKLYN,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,316613,0.000316613
78,BOROUGH PRESIDENT - BROOKLYN,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,0,0.0
79,BOROUGH PRESIDENT - BROOKLYN,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,1175609,0.001175609
80,BOROUGH PRESIDENT - BROOKLYN,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,51000,5.1e-05
81,BOROUGH PRESIDENT - BROOKLYN,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,76353,7.6353e-05
82,BOROUGH PRESIDENT - BROOKLYN,PERSONAL SERVICES,ADDITIONAL GROSS PAY,82664,8.2664e-05
83,BOROUGH PRESIDENT - BROOKLYN,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,72404,7.2404e-05
84,BOROUGH PRESIDENT - BROOKLYN,PERSONAL SERVICES,FULL TIME SALARIED,5521797,0.005521797
85,BOROUGH PRESIDENT - BROOKLYN,PERSONAL SERVICES,UNSALARIED,158102,0.000158102
86,BOROUGH PRESIDENT - MANHATTAN,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,356728,0.000356728
87,BOROUGH PRESIDENT - MANHATTAN,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,0,0.0
88,BOROUGH PRESIDENT - MANHATTAN,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,514298,0.000514298
89,BOROUGH PRESIDENT - MANHATTAN,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,371637,0.000371637
90,BOROUGH PRESIDENT - MANHATTAN,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,85035,8.5035e-05
91,BOROUGH PRESIDENT - MANHATTAN,PERSONAL SERVICES,ADDITIONAL GROSS PAY,22066,2.2066e-05
92,BOROUGH PRESIDENT - MANHATTAN,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,45159,4.5159e-05
93,BOROUGH PRESIDENT - MANHATTAN,PERSONAL SERVICES,FULL TIME SALARIED,4677563,0.004677563
94,BOROUGH PRESIDENT - MANHATTAN,PERSONAL SERVICES,UNSALARIED,130115,0.000130115
95,BOROUGH PRESIDENT - QUEENS,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,983176,0.000983176
96,BOROUGH PRESIDENT - QUEENS,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,1231,1.231e-06
97,BOROUGH PRESIDENT - QUEENS,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,449040,0.00044904
98,BOROUGH PRESIDENT - QUEENS,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,111793,0.000111793
99,BOROUGH PRESIDENT - QUEENS,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,89470,8.947e-05
100,BOROUGH PRESIDENT - QUEENS,PERSONAL SERVICES,ADDITIONAL GROSS PAY,89643,8.9643e-05
101,BOROUGH PRESIDENT - QUEENS,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,0,0.0
102,BOROUGH PRESIDENT - QUEENS,PERSONAL SERVICES,FULL TIME SALARIED,5175194,0.005175194
103,BOROUGH PRESIDENT - QUEENS,PERSONAL SERVICES,OTHER SALARIED,72519,7.2519e-05
104,BOROUGH PRESIDENT - QUEENS,PERSONAL SERVICES,UNSALARIED,178290,0.00017829
105,BOROUGH PRESIDENT - STATEN ISLAND,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,429800,0.0004298
106,BOROUGH PRESIDENT - STATEN ISLAND,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,0,0.0
107,BOROUGH PRESIDENT - STATEN ISLAND,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,1273077,0.001273077
108,BOROUGH PRESIDENT - STATEN ISLAND,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,86000,8.6e-05
109,BOROUGH PRESIDENT - STATEN ISLAND,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,192638,0.000192638
110,BOROUGH PRESIDENT - STATEN ISLAND,PERSONAL SERVICES,ADDITIONAL GROSS PAY,21366,2.1366e-05
111,BOROUGH PRESIDENT - STATEN ISLAND,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,-460110,-0.00046011
112,BOROUGH PRESIDENT - STATEN ISLAND,PERSONAL SERVICES,FULL TIME SALARIED,3259004,0.003259004
113,BOROUGH PRESIDENT - STATEN ISLAND,PERSONAL SERVICES,OTHER SALARIED,56712,5.6712e-05
114,BOROUGH PRESIDENT - STATEN ISLAND,PERSONAL SERVICES,UNSALARIED,269192,0.000269192
115,BROOKLYN PUBLIC LIBRARY,LUMP SUM,FIXED & MISCELLANEOUS CHARGES,125976636,0.125976636
116,BROOKLYN PUBLIC LIBRARY,LUMP SUM,OTHER SERVICES AND CHARGES,2681360,0.00268136
117,BROOKLYN PUBLIC LIBRARY,LUMP SUM,SUPPLIES AND MATERIALS,1250,1.25e-06
118,BUSINESS INTEGRITY COMMISSION,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,178976,0.000178976
119,BUSINESS INTEGRITY COMMISSION,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,3500,3.5e-06
120,BUSINESS INTEGRITY COMMISSION,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,2323881,0.002323881
121,BUSINESS INTEGRITY COMMISSION,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,29784,2.9784e-05
122,BUSINESS INTEGRITY COMMISSION,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,111071,0.000111071
123,BUSINESS INTEGRITY COMMISSION,PERSONAL SERVICES,ADDITIONAL GROSS PAY,234111,0.000234111
124,BUSINESS INTEGRITY COMMISSION,PERSONAL SERVICES,FULL TIME SALARIED,6295720,0.00629572
125,BUSINESS INTEGRITY COMMISSION,PERSONAL SERVICES,UNSALARIED,61064,6.1064e-05
126,CAMPAIGN FINANCE BOARD,ELECTION FUNDING,FIXED & MISCELLANEOUS CHARGES,6843000,0.006843
127,CAMPAIGN FINANCE BOARD,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,19551382,0.019551382
128,CAMPAIGN FINANCE BOARD,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,0,0.0
129,CAMPAIGN FINANCE BOARD,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,8956766,0.008956766
130,CAMPAIGN FINANCE BOARD,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,1253131,0.001253131
131,CAMPAIGN FINANCE BOARD,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,5021351,0.005021351
132,CAMPAIGN FINANCE BOARD,PERSONAL SERVICES,ADDITIONAL GROSS PAY,541050,0.00054105
133,CAMPAIGN FINANCE BOARD,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,3169,3.169e-06
134,CAMPAIGN FINANCE BOARD,PERSONAL SERVICES,FULL TIME SALARIED,16731386,0.016731386
135,CAMPAIGN FINANCE BOARD,PERSONAL SERVICES,UNSALARIED,511363,0.000511363
136,CITY CLERK,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,131225,0.000131225
137,CITY CLERK,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,1601,1.601e-06
138,CITY CLERK,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,1085962,0.001085962
139,CITY CLERK,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,17007,1.7007e-05
140,CITY CLERK,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,44580,4.458e-05
141,CITY CLERK,PERSONAL SERVICES,ADDITIONAL GROSS PAY,63603,6.3603e-05
142,CITY CLERK,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,7541,7.541e-06
143,CITY CLERK,PERSONAL SERVICES,FULL TIME SALARIED,4579315,0.004579315
144,CITY CLERK,PERSONAL SERVICES,UNSALARIED,29783,2.9783e-05
145,CITY COUNCIL,CMTEE ON CIVIL SERV & LABOR,AMOUNTS TO BE SCHEDULED,1,1e-09
146,CITY COUNCIL,CMTEE ON CIVIL SERV & LABOR,OTHER SERVICES AND CHARGES,1,1e-09
147,CITY COUNCIL,CMTEE ON ECONOMIC DEVELOPMENT,AMOUNTS TO BE SCHEDULED,1,1e-09
148,CITY COUNCIL,CMTEE ON ECONOMIC DEVELOPMENT,OTHER SERVICES AND CHARGES,1,1e-09
149,CITY COUNCIL,CMTEE ON ENVIRON PROTECTION,AMOUNTS TO BE SCHEDULED,1,1e-09
150,CITY COUNCIL,CMTEE ON ENVIRON PROTECTION,OTHER SERVICES AND CHARGES,1,1e-09
151,CITY COUNCIL,CMTEE ON GENERAL WELFARE,OTHER SERVICES AND CHARGES,1,1e-09
152,CITY COUNCIL,CMTEE ON GOV'T OPERATIONS,AMOUNTS TO BE SCHEDULED,1,1e-09
153,CITY COUNCIL,CMTEE ON HOUSING & BLDGS,OTHER SERVICES AND CHARGES,1,1e-09
154,CITY COUNCIL,CMTEE ON HOUSING & BUILDINGS,AMOUNTS TO BE SCHEDULED,1,1e-09
155,CITY COUNCIL,CMTEE ON PARKS REC & CULT,AMOUNTS TO BE SCHEDULED,1,1e-09
156,CITY COUNCIL,CMTEE ON PARKS REC & CULT,OTHER SERVICES AND CHARGES,1,1e-09
157,CITY COUNCIL,CMTEE ON PUBLIC SAFETY,OTHER SERVICES AND CHARGES,1,1e-09
158,CITY COUNCIL,CMTEE ON RULES PRIV & ELECT,AMOUNTS TO BE SCHEDULED,1,1e-09
159,CITY COUNCIL,"CMTEE ON RULES,PRIV. & ELECT.",OTHER SERVICES AND CHARGES,1,1e-09
160,CITY COUNCIL,CMTEE ON STANDARDS & ETHICS,OTHER SERVICES AND CHARGES,1,1e-09
161,CITY COUNCIL,CMTEE ON STANDARDS AND ETHICS,AMOUNTS TO BE SCHEDULED,1,1e-09
162,CITY COUNCIL,CMTEE ON STATE & FED. LEG.,OTHER SERVICES AND CHARGES,1,1e-09
163,CITY COUNCIL,CMTEE ON STATE AND FED LEG,AMOUNTS TO BE SCHEDULED,1,1e-09
164,CITY COUNCIL,CMTEE ON YOUTH SERVICES,OTHER SERVICES AND CHARGES,1,1e-09
165,CITY COUNCIL,COMM ON FIRE & CRIM JUSTICE OTPS,OTHER SERVICES AND CHARGES,1,1e-09
166,CITY COUNCIL,COMM ON FIRE & CRIMINAL JUSTICE,AMOUNTS TO BE SCHEDULED,1,1e-09
167,CITY COUNCIL,COMMITTEE ON CIVIL RIGHTS,AMOUNTS TO BE SCHEDULED,1,1e-09
168,CITY COUNCIL,COMMITTEE ON CIVIL RIGHTS,OTHER SERVICES AND CHARGES,1,1e-09
169,CITY COUNCIL,COMMITTEE ON CONSUMER AFFAIRS,AMOUNTS TO BE SCHEDULED,1,1e-09
170,CITY COUNCIL,COMMITTEE ON CONSUMER AFFAIRS,OTHER SERVICES AND CHARGES,1,1e-09
171,CITY COUNCIL,COMMITTEE ON CONTRACTS,AMOUNTS TO BE SCHEDULED,1,1e-09
172,CITY COUNCIL,COMMITTEE ON CONTRACTS,OTHER SERVICES AND CHARGES,1,1e-09
173,CITY COUNCIL,COMMITTEE ON COURTS AND LEGAL SERVICES,AMOUNTS TO BE SCHEDULED,1,1e-09
174,CITY COUNCIL,COMMITTEE ON COURTS AND LEGAL SERVICES,OTHER SERVICES AND CHARGES,1,1e-09
175,CITY COUNCIL,COMMITTEE ON EDUCATION,AMOUNTS TO BE SCHEDULED,1,1e-09
176,CITY COUNCIL,COMMITTEE ON EDUCATION,OTHER SERVICES AND CHARGES,1,1e-09
177,CITY COUNCIL,COMMITTEE ON FINANCE,AMOUNTS TO BE SCHEDULED,1,1e-09
178,CITY COUNCIL,COMMITTEE ON FINANCE,OTHER SERVICES AND CHARGES,1,1e-09
179,CITY COUNCIL,COMMITTEE ON GENERAL WELFARE,AMOUNTS TO BE SCHEDULED,1,1e-09
180,CITY COUNCIL,COMMITTEE ON GOV'T OPERATIONS,OTHER SERVICES AND CHARGES,1,1e-09
181,CITY COUNCIL,COMMITTEE ON HEALTH,AMOUNTS TO BE SCHEDULED,1,1e-09
182,CITY COUNCIL,COMMITTEE ON HEALTH,OTHER SERVICES AND CHARGES,1,1e-09
183,CITY COUNCIL,COMMITTEE ON HIGHER EDUCATION,AMOUNTS TO BE SCHEDULED,1,1e-09
184,CITY COUNCIL,COMMITTEE ON HIGHER EDUCATION,OTHER SERVICES AND CHARGES,1,1e-09
185,CITY COUNCIL,COMMITTEE ON IMMIGRATION,AMOUNTS TO BE SCHEDULED,1,1e-09
186,CITY COUNCIL,COMMITTEE ON IMMIGRATION,OTHER SERVICES AND CHARGES,1,1e-09
187,CITY COUNCIL,COMMITTEE ON LAND USE,AMOUNTS TO BE SCHEDULED,1,1e-09
188,CITY COUNCIL,COMMITTEE ON LAND USE,OTHER SERVICES AND CHARGES,1,1e-09
189,CITY COUNCIL,COMMITTEE ON OVERSIGHT & INVESTIGATIONS,AMOUNTS TO BE SCHEDULED,1,1e-09
190,CITY COUNCIL,COMMITTEE ON OVERSIGHT & INVESTIGATIONS,OTHER SERVICES AND CHARGES,1,1e-09
191,CITY COUNCIL,COMMITTEE ON PUBLIC HOUSING,AMOUNTS TO BE SCHEDULED,1,1e-09
192,CITY COUNCIL,COMMITTEE ON PUBLIC HOUSING,OTHER SERVICES AND CHARGES,1,1e-09
193,CITY COUNCIL,COMMITTEE ON PUBLIC SAFETY,AMOUNTS TO BE SCHEDULED,1,1e-09
194,CITY COUNCIL,COMMITTEE ON SANITATION & SOLIDWASTE MGT,AMOUNTS TO BE SCHEDULED,1,1e-09
195,CITY COUNCIL,COMMITTEE ON SANITATION & SOLIDWASTE MGT,OTHER SERVICES AND CHARGES,1,1e-09
196,CITY COUNCIL,COMMITTEE ON SMALL BUSINESS,AMOUNTS TO BE SCHEDULED,1,1e-09
197,CITY COUNCIL,COMMITTEE ON SMALL BUSINESS,OTHER SERVICES AND CHARGES,1,1e-09
198,CITY COUNCIL,COMMITTEE ON TECHNOLOGY IN GOVERNMENT,AMOUNTS TO BE SCHEDULED,1,1e-09
199,CITY COUNCIL,COMMITTEE ON TECHNOLOGY IN GOVERNMENT,OTHER SERVICES AND CHARGES,1,1e-09
200,CITY COUNCIL,COMMITTEE ON THE AGING,AMOUNTS TO BE SCHEDULED,1,1e-09
201,CITY COUNCIL,COMMITTEE ON THE AGING,OTHER SERVICES AND CHARGES,1,1e-09
202,CITY COUNCIL,COMMITTEE ON TRANSPORTATION,AMOUNTS TO BE SCHEDULED,1,1e-09
203,CITY COUNCIL,COMMITTEE ON TRANSPORTATION,OTHER SERVICES AND CHARGES,1,1e-09
204,CITY COUNCIL,COMMITTEE ON VETERANS,AMOUNTS TO BE SCHEDULED,1,1e-09
205,CITY COUNCIL,COMMITTEE ON VETERANS,OTHER SERVICES AND CHARGES,1,1e-09
206,CITY COUNCIL,COMMITTEE ON WATERFRONTS,AMOUNTS TO BE SCHEDULED,1,1e-09
207,CITY COUNCIL,COMMITTEE ON WATERFRONTS,OTHER SERVICES AND CHARGES,1,1e-09
208,CITY COUNCIL,COMMITTEE ON WOMEN'S ISSUES,AMOUNTS TO BE SCHEDULED,1,1e-09
209,CITY COUNCIL,COMMITTEE ON WOMEN'S ISSUES,OTHER SERVICES AND CHARGES,1,1e-09
210,CITY COUNCIL,COMMITTEE ON YOUTH SERVICES,AMOUNTS TO BE SCHEDULED,1,1e-09
211,CITY COUNCIL,COMMITTEE STAFFING,FULL TIME SALARIED,27639874,0.027639874
212,CITY COUNCIL,COUNCIL MEMBERS,FULL TIME SALARIED,7589500,0.0075895
213,CITY COUNCIL,COUNCIL MEMBERS,OTHER SALARIED,27710057,0.027710057
214,CITY COUNCIL,COUNCIL SERVICES DIVISION,FULL TIME SALARIED,19751430,0.01975143
215,CITY COUNCIL,COUNCIL SERVICES DIVISION,OTHER SALARIED,10000,1e-05
216,CITY COUNCIL,COUNCIL SERVICES DIVISION,UNSALARIED,365536,0.000365536
217,CITY COUNCIL,"CULT. AFFAIRS, LIB. & INT'L INTGRP. REL",AMOUNTS TO BE SCHEDULED,1,1e-09
218,CITY COUNCIL,"CULT. AFFAIRS, LIB. & INT'L INTGRP. REL",OTHER SERVICES AND CHARGES,1,1e-09
219,CITY COUNCIL,HOSPITALS,AMOUNTS TO BE SCHEDULED,1,1e-09
220,CITY COUNCIL,HOSPITALS,OTHER SERVICES AND CHARGES,1,1e-09
221,CITY COUNCIL,"MEN HLTH, RET, ALC,DRUG ABUSE & DIS SVCS",AMOUNTS TO BE SCHEDULED,1,1e-09
222,CITY COUNCIL,"MEN HLTH, RET, ALC,DRUG ABUSE & DIS SVCS",OTHER SERVICES AND CHARGES,1,1e-09
223,CITY COUNCIL,OTPS CENTRAL STAFF,CONTRACTUAL SERVICES,3131000,0.003131
224,CITY COUNCIL,OTPS CENTRAL STAFF,FIXED & MISCELLANEOUS CHARGES,35000,3.5e-05
225,CITY COUNCIL,OTPS CENTRAL STAFF,OTHER SERVICES AND CHARGES,12894000,0.012894
226,CITY COUNCIL,OTPS CENTRAL STAFF,PROPERTY AND EQUIPMENT,875000,0.000875
227,CITY COUNCIL,OTPS CENTRAL STAFF,SUPPLIES AND MATERIALS,565000,0.000565
228,CITY COUNCIL,OTPS COUNCIL MEMBERS,OTHER SERVICES AND CHARGES,5630000,0.00563
