,agency,detail,bn_dol
49,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION,0.25
179,POLICE DEPARTMENT,INTELLIGENCE AND COUNTERTERRORISM - PS,0.25
76,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FRINGE BENEFITS (ACA),0.24
177,POLICE DEPARTMENT,HOUSING POLICE-PS,0.23
173,POLICE DEPARTMENT,DEBT SERVICE (ACA),0.2
135,FIRE DEPARTMENT,DEBT SERVICE (ACA),0.19
77,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HEALTH ADMINISTRATION - OTPS,0.19
38,DEPARTMENT OF EDUCATION,NPS & FIT PMTS - OTPS,0.18
187,POLICE DEPARTMENT,TRAFFIC ENFORCEMENT,0.18
44,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - PS,0.18
132,DEPARTMENT OF SOCIAL SERVICES,PENSION CONTRIBUTIONS (ACA),0.17
18,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - OTPS,0.17
10,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OTPS,0.17
162,HOUSING PRESERVATION AND DEVELOPMENT,OFFICE OF HOUSING PRESERVATION,0.16
75,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FAMILY & CHILD HEALTH - PS,0.14
139,FIRE DEPARTMENT,EXECUTIVE ADMINISTRATIVE,0.14
60,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"ALCOHOL&DRUG USE PREVENT, CARE TREATMENT",0.14
66,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DISEASE CONTROL - PS,0.13
103,DEPARTMENT OF SANITATION,EXEC & ADMINISTRATIVE-OTPS,0.13
12,ADMINISTRATION FOR CHILDRENS SERVICES,OTHER THAN PERSONAL SERVICES,0.13
94,DEPARTMENT OF HOMELESS SERVICES,SHELTER INTAKE AND PROGRAM - PS,0.13
74,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FAMILY & CHILD HEALTH - OTPS,0.13
19,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - PS,0.12
114,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES,0.11
169,POLICE DEPARTMENT,COMMUNICATIONS - PS,0.11
175,POLICE DEPARTMENT,EXECUTIVE MANAGEMENT-OTPS,0.11
13,ADMINISTRATION FOR CHILDRENS SERVICES,PENSION CONTRIBUTIONS (ACA),0.1
155,HOUSING PRESERVATION AND DEVELOPMENT,FRINGE BENEFITS (ACA),0.1
87,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PENSION CONTRIBUTIONS (ACA),0.1
104,DEPARTMENT OF SANITATION,EXECUTIVE ADMINISTRATIVE,0.1
130,DEPARTMENT OF SOCIAL SERVICES,MEDICAL ASSISTANCE,0.1
62,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CENTER FOR HLTH EQUITY&COMM WELLNESS-OTP,0.09
181,POLICE DEPARTMENT,OPERATIONS-OTPS,0.09
99,DEPARTMENT OF SANITATION,BUREAU OF MOTOR EQUIP,0.08
0,ADMINISTRATION FOR CHILDRENS SERVICES,ADMINISTRATIVE-PS,0.08
71,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ENVIRONMENTAL HEALTH - PS,0.08
85,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OFFICE OF CHIEF MEDICAL EXAMINER - PS,0.08
123,DEPARTMENT OF SOCIAL SERVICES,FAIR FARES - OTPS,0.08
11,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - PS,0.08
4,ADMINISTRATION FOR CHILDRENS SERVICES,COMMITTEE ON SPECIAL EDUCATION,0.08
118,DEPARTMENT OF SOCIAL SERVICES,DEBT SERVICE (ACA),0.08
82,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTAL HYGIENE MANAGEMENT SERVICES- OTPS,0.07
91,DEPARTMENT OF HOMELESS SERVICES,FRINGE BENEFITS (ACA),0.07
171,POLICE DEPARTMENT,CRIMINAL JUSTICE,0.07
78,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HEALTH ADMINISTRATION - PS,0.07
23,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - OTPS,0.06
158,HOUSING PRESERVATION AND DEVELOPMENT,OFFICE OF ADMINISTRATION,0.06
126,DEPARTMENT OF SOCIAL SERVICES,HOME ENERGY ASSISTANCE - OTPS,0.06
121,DEPARTMENT OF SOCIAL SERVICES,EMERGENCY FOOD - OTPS,0.06
161,HOUSING PRESERVATION AND DEVELOPMENT,OFFICE OF DEVELOPMENT OTPS,0.06
149,HEALTH AND HOSPITALS CORPORATION,FRINGE BENEFITS (ACA),0.06
168,POLICE DEPARTMENT,COMMUNICATIONS - OTPS,0.06
63,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DEBT SERVICE (ACA),0.06
81,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTAL HYGIENE MANAGEMENT SERVICES - PS,0.05
70,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ENVIRONMENTAL HEALTH - OTPS,0.05
119,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - OTPS,0.05
108,DEPARTMENT OF SANITATION,SNOW BUDGET-PS,0.04
110,DEPARTMENT OF SANITATION,WASTE DISPOSAL,0.04
140,FIRE DEPARTMENT,FIRE EXTING & RESP-OTPS,0.04
136,FIRE DEPARTMENT,EMERGENCY MEDICAL SERV-OTPS,0.04
160,HOUSING PRESERVATION AND DEVELOPMENT,OFFICE OF DEVELOPMENT,0.04
117,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - PS,0.04
89,DEPARTMENT OF HOMELESS SERVICES,ADMINISTRATION - PS,0.04
144,FIRE DEPARTMENT,FIRE PREVENTION,0.04
163,HOUSING PRESERVATION AND DEVELOPMENT,PENSION CONTRIBUTIONS (ACA),0.03
156,HOUSING PRESERVATION AND DEVELOPMENT,HOUSING MAINTENANCE AND SALES,0.03
92,DEPARTMENT OF HOMELESS SERVICES,PENSION CONTRIBUTIONS (ACA),0.03
106,DEPARTMENT OF SANITATION,MOTOR EQUIPMENT-OTPS,0.03
29,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS- PS,0.03
165,HOUSING PRESERVATION AND DEVELOPMENT,RENTAL SUBSIDY PROGRAMS - PS,0.03
116,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - OTPS,0.03
61,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CENTER FOR HLTH EQUITY& COMM WELLNESS-PS,0.03
84,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,OFFICE OF CHIEF MEDICAL EXAMINER - OTPS,0.03
88,DEPARTMENT OF HOMELESS SERVICES,ADMINISTRATION - OTPS,0.03
97,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT,0.03
101,DEPARTMENT OF SANITATION,CLEANING & COLLECTION-OTPS,0.03
109,DEPARTMENT OF SANITATION,SNOW-OTPS,0.03
9,ADMINISTRATION FOR CHILDRENS SERVICES,JUVENILE JUSTICE - OCFS PAYMENTS,0.02
7,ADMINISTRATION FOR CHILDRENS SERVICES,HEADSTART and DAYCARE-PS,0.02
159,HOUSING PRESERVATION AND DEVELOPMENT,OFFICE OF ADMINISTRATION OTPS,0.02
73,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,EPIDEMIOLOGY - PS,0.02
50,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION OTPS,0.02
142,FIRE DEPARTMENT,FIRE INVESTIGATION,0.02
69,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,EARLY INTERVENTION - PS,0.02
157,HOUSING PRESERVATION AND DEVELOPMENT,HOUSING MANAGEMENT AND SALES,0.02
120,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - PS,0.02
41,DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION - PS,0.01
52,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP -OTPS,0.01
98,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT-OTPS,0.01
72,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,EPIDEMIOLOGY - OTPS,0.01
64,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DEVELOPMENT DISABILITY - OTPS,0.01
96,DEPARTMENT OF HOMELESS SERVICES,STREET PROGRAMS - PS,0.01
178,POLICE DEPARTMENT,INTELLIGENCE AND COUNTERTERRORISM - OTPS,0.01
185,POLICE DEPARTMENT,SCHOOL SAFETY- OTPS,0.01
188,POLICE DEPARTMENT,TRAFFIC ENFORCEMENT-OTPS,0.01
